District,School Name,School Type,Address
AISD Elementary,Allison ES,Elementary,"515 Vargas Road, Austin, TX 78741"
AISD Elementary,Andrews ES,Elementary,"6801 Northeast Drive, Austin, TX 78723"
AISD Elementary,Brown ES,Elementary,"7801 Guadalupe St., Austin, TX 78752"
AISD Elementary,Cook ES,Elementary,"1511 Cripple Creek Drive, Austin, TX 78758"
AISD Elementary,Cunningham ES,Elementary,"2200 Berkeley Ave., Austin, TX 78745"
AISD Elementary,Galindo ES,Elementary,"3800 S. Second St., Austin, TX 78704"
AISD Elementary,Govalle ES,Elementary,"3601 Govalle Ave., Austin, TX 78702"
AISD Elementary,Harris ES,Elementary,"6105 Berkman Drive, Austin, TX 78723"
AISD Elementary,Hart ES,Elementary,"8301 Furness St., Austin, TX 78753"
AISD Elementary,Houston ES,Elementary,"5409 Ponciana Drive, Austin, TX 78744"
AISD Elementary,Jordan ES,Elementary,"6711 Johnny Morris Road, Austin, TX 78724"
AISD Elementary,Joslin ES,Elementary,"4500 Manchaca Road, Austin, TX 78745"
AISD Elementary,Kocurek ES,Elementary,"9800 Curlew Drive, Austin, TX 78748"
AISD Elementary,Langford ES,Elementary,"7601 Dixie Drive, Austin, TX 78744"
AISD Elementary,Linder ES,Elementary,"2800 Metcalfe Road, Austin, TX 78741"
AISD Elementary,Maplewood ES,Elementary,"3808 Maplewood Ave., Austin, TX 78722"
AISD Elementary,Menchaca ES,Elementary,"1218 West FM 1626, Manchaca, TX 78652"
AISD Elementary,Norman-Sims ES,Elementary,"4001 Tannehill Ln., Austin, TX 78721"
AISD Elementary,Ortega ES,Elementary,"1135 Garland Ave., Austin, TX 78721"
AISD Elementary,Overton ES,Elementary,"7201 Colony Loop Drive, Austin, TX 78724"
AISD Elementary,Padron ES,Elementary,"2011 W. Rundberg Lane, Austin, TX 78758"
AISD Elementary,Pecan Springs ES,Elementary,"3500 Susquehanna Ln, Austin, TX 78723"
AISD Elementary,Perez ES,Elementary,"7500 S. Pleasant Valley Road, Austin, TX 78744"
AISD Elementary,Pickle ES,Elementary,"1101 Wheatley Ave., Austin, TX 78752"
AISD Elementary,Pleasant Hill ES,Elementary,"6405 Circle S Road, Austin, TX 78745"
AISD Elementary,Rodriguez ES,Elementary,"4400 Franklin Park Drive, Austin, TX 78744"
AISD Elementary,Sanchez ES,Elementary,"73 San Marcos St., Austin, TX 78702"
AISD Elementary,St. Elmo ES,Elementary,"600 W. St. Elmo Road, Austin, TX 78745"
AISD Elementary,Walnut Creek ES,Elementary,"401 W. Braker Lane, Austin, TX 78753"
AISD Elementary,Wooldridge ES,Elementary,"1412 Norseman Terrace, Austin, TX 78758"
AISD Elementary,Wooten ES,Elementary,"1405 Wooten Drive, Austin, TX 78757"
AISD Elementary,Zavala ES,Elementary,"310 Robert T. Martinez Jr. St., Austin, TX 78702"
AISD Middle,Bailey MS,Middle,"4020 Lost Oasis Hollow, Austin, TX 78739"
AISD Middle,Bedichek MS,Middle,"6800 Bill Hughes Road, Austin, TX 78745"
AISD Middle,Dobie MS,Middle,"1200 E. Rundberg Lane, Austin, TX 78753"
AISD Middle,Garcia YMLA,Specialty/Academy,"7414 Johnny Morris Road, Austin, TX 78724"
AISD Middle,Kealing MS,Middle,"1607 Pennsylvania Ave., Austin, TX 78702"
AISD Middle,Lamar MS,Middle,"6201 Wynona St., Austin, TX 78757"
AISD Middle,Lively MS,Middle,"201 E. Mary St., Austin, TX 78704"
AISD Middle,Marshall MS,Middle,"4401 Tilley St., Austin, TX 78723"
AISD Middle,Murchison MS,Middle,"3700 N Hills Drive, Austin, TX 78731"
AISD Middle,O.Henry MS,Middle,"2610 West 10th St., Austin, TX 78703"
AISD Middle,Sadler Means YWLA,Specialty/Academy,"6401 N. Hampton Drive, Austin, TX 78723"
AISD Middle,Webb MS,Middle,"601 E. St. Johns Ave., Austin, TX 78752"
Del Valle ISD,Baty ES,Elementary,"2101 Faro Drive, Austin, TX 78741"
Del Valle ISD,Collins ES,Elementary,"7609 Apogee Blvd, Austin, TX 78744"
Del Valle ISD,Del Valle ES,Elementary,"5400 Ross Rd, Del Valle, TX 78617"
Del Valle ISD,Hillcrest ES,Elementary,"6910 E William Cannon Dr, Austin, TX 78744"
Del Valle ISD,Dailey MS,Middle,"14000 Westall St, Austin, TX 78725"
Hays CISD,Fuentes ES,Elementary,"901 Philomena Drive, Kyle, TX 78640"
Hays CISD,Science Hall ES,Elementary,"1510 Bebee Road, Kyle, TX 78640"
Hays CISD,Tom Green ES,Elementary,"1301 Old Goforth Road, Buda, TX 78610"
Hays CISD,Uhland ES,Elementary,"2331 High Road, Uhland, TX 78640"
Hays CISD,McCormick MS,Middle,"5700 Dacy Lane, Buda, TX 78610"
Hays CISD,Simon MS,Middle,"3839 E FM 150, Kyle, TX 78640"
Austin Achieve,Austin Achieve ES,Elementary,"7424 E Hwy 290 Bldg 1, Austin, TX 78723"
Austin Achieve,Austin Achieve MS,Middle,"5908 Manor Rd, Austin, TX 78723"
Austin Achieve,Austin Achieve Pflugerville,Campus,"1900 East Pfennig Lane, Pflugerville, TX 78660"
